Acceleration;Gender;Age;LateralAcceleration;VehicleSpeed;GearChanges;EngineSpeed;FuelConsum;Weight;DriverPerformance
0.21309;1;27.979;0.42073;79.563;3.418;1834.8;33.045;28.127;1
0.12251;2;26.066;0.19796;76.162;5.5677;1641.5;33.162;29.022;2
0.077809;2;33.99;0.076106;71.247;1.0695;1384.1;32.918;32.079;3
0.11311;2;27.045;0.22984;76.584;4.2841;1542.3;32.016;29.015;2
0.042819;2;33.866;0.15107;77.558;2.0737;1391.8;30.329;30.047;3
0.10363;2;26.225;0.21006;79.016;4.6032;1548.2;34.488;31.714;2
0.091858;1;24.64;0.24561;84.156;2.8461;1608.6;33.448;30.542;2
0.12729;1;27.399;0.33075;81.594;2.2943;1545.3;32.663;30.137;2
0.22049;2;21.785;0.31634;81.215;3.3385;1639.9;34.675;30.539;2
0.22102;2;22.06;0.4248;82.533;8.4666;1933;35.298;30.958;1
0.042321;1;35.502;0.16646;89.622;4.3072;1176.5;33.719;32.843;3
-0.01084;1;28.9;0.23901;84.97;5.9268;1566.1;33.345;30.606;2
0.033035;2;40.643;0.19721;80.108;1.7971;1190.8;29.743;27.424;3
0.19154;2;20.953;0.42581;94.923;5.1082;1620.4;34.624;31.623;1
0.14406;2;23.342;0.2578;81.453;4.1006;1390.9;33.253;31.359;2
0.016761;2;23.177;0.1984;79.054;4.1796;1496.4;32.557;30.22;2
0.17943;2;22.115;0.29279;83.598;6.3636;1554.3;36.511;30.476;1
0.15279;2;22.726;0.46931;84.847;2.4888;1713.6;36.012;32.284;1
0.18524;1;25.154;0.22431;86.696;5.2951;1718.3;35.241;31.006;1
0.16074;1;28.486;0.39271;87.342;4.0073;1525.1;35.537;31.802;1
0.037912;1;29.938;0.26909;84.329;3.8268;1865.1;32.681;30.368;2
0.26188;2;25.663;0.40534;89.785;7.0793;1512.5;34.33;29.751;1
0.14601;2;25.971;0.29028;85.909;1.8984;1671.1;34.164;30.013;2
0.1015;2;26.508;0.10975;85.095;3.6916;1728.8;33.568;28.842;2
0.22322;2;26.255;0.31662;90.562;5.3147;1908.7;34.442;33.168;1
0.16247;1;26.377;0.35972;83.319;4.459;1686.6;32.742;29.458;2
0.030787;2;33.005;-0.07826;90.479;2.6816;1475.1;30.082;28.873;3
0.074407;1;26.941;0.20876;77.347;1.7384;1237.2;30.511;28.926;3
0.2167;2;21.849;0.41898;80.565;3.8839;1689.5;37.616;32.947;1
0.016303;2;32.931;0.18668;82.018;2.4909;1298.1;33.26;33.504;3
0.1581;2;26.272;0.26964;82.895;5.5508;1464.3;31.184;27.173;2
0.14384;1;32.824;0.14199;84.102;1.985;1370.2;33.684;32.252;3
-0.053931;2;32.907;0.215;79.222;1.6444;1244.5;30.23;28.162;3
0.026176;2;26.285;0.28543;80.148;4.4925;1255.3;31.295;27.49;2
0.10531;2;26.636;0.40272;84.306;3.906;1467.8;34.13;31.356;2
0.0011557;1;25.069;0.25242;78.579;2.3092;1584.1;33.545;31.233;2
0.073672;2;23.339;0.21108;81.857;2.8683;1479.6;33.47;31.603;2
0.13238;2;31.194;0.17617;79.063;1.3102;1148.1;30.59;32.174;3
0.18264;2;20.917;0.38071;85.248;4.3717;1773.5;38.584;34.876;1
0.1306;2;25.907;0.37716;87.248;5.2681;1690.3;34.67;31.663;1
0.11118;2;25.51;0.56735;86.916;3.0381;1869.2;36.216;30.546;1
-0.052376;1;31.072;0.38939;83.793;2.0412;1166.4;28.985;27.685;3
0.13957;1;28.654;0.17078;75.418;2.2044;1157.3;31.503;30.032;3
0.0040808;2;31.043;0.09462;76.877;1.692;1165.5;30.166;28.637;3
0.073143;1;36.765;0.12768;72.87;3.1641;1357.7;30.692;28.888;3
0.14417;2;28.226;0.20286;85.757;2.7396;1406.3;29.45;26.443;2
0.012125;2;25.247;0.068911;79.63;2.8582;1335.3;30.283;30.061;3
0.21068;1;21.914;0.26556;84.76;2.3589;1484.3;34.196;30.766;1
-0.027207;2;35.538;0.082395;79.943;3.0821;1291.9;29.108;28.898;3
0.034461;2;34.468;0.081109;80.182;0.54633;1244.7;32.027;30.822;3
-0.022413;1;31.537;0.12828;78.396;2.7504;1161.3;30.464;28.014;3
0.16674;1;26.445;0.19609;87.841;3.0669;1794.4;34.909;29.505;1
0.11784;2;29.206;0.25947;82.801;3.8175;1660.2;35.062;31.194;2
0.096689;2;24.69;0.18432;88.237;1.6976;1477.4;31.028;27.165;2
0.11615;1;24.99;0.43274;79.013;7.1194;1657.2;34.874;29.635;1
0.17028;2;25.532;0.25973;89.047;5.4653;1642.5;35.453;30.788;1
0.11838;1;30.457;0.049109;73.057;1.7716;1293.3;31.399;30.729;3
0.028149;2;28.622;0.25907;85.627;4.4051;1434.6;32.061;28.612;2
0.045449;2;25.047;0.46203;81.414;3.0219;1895.2;33.145;28.032;1
0.014747;1;29.988;0.12266;76.612;1.1422;1229.2;31.12;29.057;3
0.063838;2;33.495;0.089005;80.14;2.0943;1139;30.293;28.883;3
0.17734;1;23.351;0.31093;87.455;7.3302;1948.7;38.366;28.424;1
0.25006;2;24.311;0.41392;83.716;3.5803;1779.6;34.974;29.404;1
0.12501;1;20.816;0.31135;87.715;6.1961;1573;35.029;29.903;1
0.099799;1;26.489;0.10572;78.895;3.8939;1169.1;32.921;29.669;2
0.14435;1;30.412;0.30766;86.915;3.5537;1608.2;30.847;27.645;2
0.13492;2;23.625;0.295;89.467;7.1646;1597.7;38.227;33.462;1
0.21866;1;32.774;0.22288;87.742;4.311;1324.5;34.163;30.174;2
0.14178;2;25.4;0.22229;84.719;2.3422;1725.1;33.903;27.741;1
0.17175;1;21.104;0.31335;80.134;4.0787;1910.1;36.865;32.718;1
-0.024214;2;28.358;0.12313;70.459;2.879;1225.9;32.42;30.346;3
-0.040924;2;27.627;0.10209;78.281;1.174;1221.4;31.836;30.724;3
0.1031;1;26.559;0.17681;91.161;1.898;1569.8;36.034;32.14;2
0.05134;1;29.95;0.011415;74.401;2.3476;1243.9;29.765;30.031;3
0.14773;2;21.329;0.41321;90.372;3.6914;1534.9;34.432;32.071;1
0.067179;2;23.787;0.19609;81.234;4.2707;1790.2;31.987;29.263;2
0.079049;2;29.969;0.31278;79.164;2.9067;1584.5;33.451;29.86;2
0.15321;2;30.812;0.17139;80.68;3.6882;1693.9;34.64;31.735;2
0.21956;2;21.854;0.30407;83.028;8.0049;1667.4;33.592;30.187;1
0.14781;1;29.799;0.16383;78.694;4.5974;1670.9;33.848;30.562;2
0.013891;2;30.707;0.20331;71.787;0.52317;1171.5;29.715;30.602;3
-0.028016;2;32.956;0.26207;79.085;1.6487;1208.7;29.449;29.216;3
0.30047;1;24.882;0.33646;83.518;6.116;1750;36.145;30.604;1
0.080348;1;22.685;0.447;91.22;6.1904;1620.5;37.111;32.067;1
0.12363;1;25.187;0.3198;86.683;5.242;1661.4;34.95;30.144;1
0.074655;1;23.306;0.24789;87.02;1.6356;1460.2;31.965;29.179;2
0.1514;2;29.956;0.26282;86.498;3.3815;1608.7;30.76;28.322;2
0.11273;1;24.377;0.24243;81.246;4.8933;1452.9;32.318;29.859;2
0.1625;2;26.039;0.38836;99.433;3.3425;1460.4;33.741;28.628;1
0.063554;1;35.442;0.056468;79.437;1.7859;1276.7;31.695;30.219;3
0.19657;1;30.833;0.1671;82.524;5.0347;1730.1;33.345;30.659;2
-0.019472;1;28.398;0.11811;77.687;0.93519;1258;28.78;28.571;3
0.25189;2;24.706;0.21747;86.686;2.7559;1694.2;33.701;28.636;1
-0.04135;1;32.453;0.14224;77.272;3.4738;1318;31.827;29.462;3
0.041128;1;25.7;0.17651;79.723;2.9266;1471.9;31.412;31.013;3
0.11345;1;30.88;0.45781;81.35;3.894;1488.3;32.305;30.164;2
0.20464;2;27.425;0.27985;86.029;3.2013;1436;36.347;32.918;2
0.11909;2;22.097;0.34413;84.715;4.6565;1549.4;34.035;29.355;2
0.019519;1;32.193;0.17354;82.949;2.1669;1311.4;29.876;27.573;3
0.071052;2;30.411;0.24834;81.682;0.94531;1354.5;32.975;31.841;3
0.096401;2;23.903;0.50169;90.425;6.0812;1890.9;36.844;30.372;1
0.081752;1;26.49;0.27842;79.546;4.09;1667.7;33.596;30.353;2
0.15435;1;31.398;0.14367;83.17;1.6092;1321.5;33.975;32.585;3
0.11844;1;23.469;0.18928;80.343;3.8193;1763.4;31.721;28.846;2
0.066606;2;27.175;0.18246;78.756;2.2502;1342.5;32.799;32.988;3
0.1872;2;21.985;0.20443;91.56;7.8772;1600.8;35.891;30.523;1
0.15832;2;30.9;0.22331;79.704;3.8405;1695.2;31.643;29.31;2
0.23814;1;23.209;0.24621;84.955;4.5638;2039.1;37.011;31.942;1
0.21086;2;24.684;0.39249;89.354;5.9837;1745.2;34.189;29.866;1
0.24356;1;26.394;0.5427;84.974;4.3805;1820.5;33.515;28.791;1
0.017894;1;29.916;0.14041;77.449;1.8543;1230.5;32.606;30.195;3
0.0036875;2;32.705;0.11476;77.6;0.77018;1307.6;29.151;30.183;3
0.02628;2;32.785;-0.051688;81.384;2.1078;1294.5;29.859;29.534;3
0.14893;1;24.877;0.28628;84.83;5.5679;1802.1;36.537;30.742;1
0.17777;1;27.046;0.11226;81.091;0.68911;1336.3;32.313;30.877;3
0.16643;1;25.447;0.28879;90.12;6.6516;1755.8;36.872;31.407;1
0.037664;2;30.821;0.095582;79.055;1.9471;1389.6;31.403;29.506;3
0.12947;2;27.434;0.42795;88.378;3.094;1863.2;35.84;29.982;1
0.20458;1;20.75;0.43986;92.14;3.7772;1826.5;34.367;29.904;1
0.068013;1;22.864;0.33694;81.434;6.4251;1781.5;36.369;30.599;1
0.079464;1;26.575;0.33858;85.61;3.7281;1662.9;33.818;27.969;2
0.076521;2;28.406;0.34831;77.062;3.2709;1383.1;32.196;30.138;2
0.041067;2;23.633;0.21248;82.66;1.2038;1622.6;31.381;28.911;2
0.19849;2;25.77;0.41601;87.055;5.4241;1641.5;35.906;30.928;1
0.11705;2;20.206;0.2354;88.227;7.8322;1687.3;34.948;30.139;1
0.098598;2;36.038;0.11803;80.329;2.0594;1279.8;34.51;33.803;3
0.2448;1;21.767;0.45129;83.183;5.1731;1816.4;36.724;29.778;1
0.071092;1;35.366;0.20285;74.178;0.78544;1231.4;33.206;30.656;3
0.1855;1;23.01;0.38832;91.119;3.1882;1711.8;32.514;27.05;1
0.044077;1;31.005;0.10448;75.05;2.2498;1334;29.534;28.106;3
0.2506;1;30.176;0.27094;79.448;4.6575;1342.2;31.057;27.75;2
0.1831;2;29.8;0.22652;87.041;1.0283;1747.1;32.252;29.668;2
0.081923;1;30.983;0.09776;78.862;3.3772;1293;33.906;30.477;2
0.22422;1;25.34;0.48404;84.044;3.6834;1576.6;33.407;29.106;1
0.11522;1;29.55;0.086531;81.171;4.3248;1286.5;28.963;28.818;3
0.083627;2;30.498;0.16247;73.496;2.5696;1322.2;28.649;29.247;3
0.055988;2;25.365;0.29691;81.572;5.4785;1505.5;33.44;29.941;2
0.12731;1;31.74;0.0082652;75.375;2.7908;1271.1;32.002;32.975;3
0.19056;1;26.025;0.33785;97.894;2.8805;1466.3;34.825;29.167;1
0.17574;1;23.253;0.19253;84.271;4.848;1666.7;36.293;30.92;1
0.043792;1;36.74;0.064523;83.764;3.4837;1277;31.11;31.085;3
-0.019189;2;29.24;-0.05413;81.688;3.0446;1299.2;30.622;29.574;3
0.040556;2;24.259;0.37464;79.816;3.7841;1762.2;34.948;30.318;2
0.012022;1;27.365;0.09817;71.616;1.6923;1362.1;29.687;29.9;3
0.14744;1;31.773;0.33166;83.154;5.6254;1563.1;34.531;30.371;2
0.141;1;20.062;0.36642;94.967;5.5289;1793.6;35.24;30.855;1
0.18586;2;25.974;0.37672;83.247;3.12;1565.9;33.069;27.724;1
-0.075871;1;39.061;0.23846;79.701;2.0411;1257.5;31.99;30.537;3
0.16324;1;24.539;0.22839;84.99;3.7153;1803.4;35.384;30.986;1
0.19768;2;20.866;0.067035;82.553;3.8975;1458.5;33.139;29.362;2
0.088947;1;24.905;0.35561;87.027;5.8029;1972.7;34.711;31.699;1
0.19391;1;20.912;0.31127;88.668;5.6033;1591.3;36.917;32.205;1
0.15543;1;25.694;0.088533;75.876;3.229;1353.1;31.152;29.479;3
0.2008;2;23.625;0.36159;88.241;5.0026;1806.7;35.852;30.339;1
-0.043877;2;33.808;0.040556;77.397;1.1901;1278;31.166;28.317;3
0.17794;1;24.16;0.36363;89.937;2.9209;1673.3;33.232;30.963;2
0.14779;2;23.239;0.22857;83.138;2.8073;1560.5;36.889;34.497;2
0.056909;2;24.709;0.12368;84.833;5.3047;1738.1;33.15;29.955;2
0.056789;1;34.721;0.11643;75.728;1.6849;1139.9;31.376;27.793;3
-0.00025723;1;35.945;0.028057;75.286;4.1268;1220.1;31.092;29.539;3
0.19718;2;23.741;0.35178;87.59;5.4225;1879.6;33.769;29.17;1
0.19111;2;22.703;0.33878;86.367;3.2473;1808.9;37.564;30.311;1
0.091826;2;24.434;0.2992;86.602;5.201;1539.2;34.046;29.5;2
0.12488;2;23.724;0.40319;84.668;3.7725;1612.2;34.088;30.73;1
0.23775;1;21.796;0.48396;90.807;3.2033;1693.7;34.251;31.301;1
0.11398;2;28.031;0.2601;85.123;1.3841;1535.4;34.011;29.8;2
-0.012115;2;27.879;0.024446;91.851;1.5352;1328.8;31.758;30.065;3
0.10995;1;25.712;0.23165;88.888;5.1823;1957.2;33.143;25.77;1
0.14574;1;24.579;0.42743;85.112;6.6334;1933.8;35.673;31.733;1
0.11395;1;33.931;0.3405;88.471;2.6248;1646.1;32.331;29.28;2
0.18696;2;25;0.45584;86.951;2.0583;1659.2;35.938;30.421;1
0.049947;2;32.916;0.13627;72.08;0.95105;1336.2;28.739;28.145;3
0.20204;1;28.611;0.56579;91.548;4.8764;1746.1;32.753;26.093;1
-0.058245;2;37.719;0.04042;74.522;2.3148;1357.7;32.124;30.492;3
0.074914;1;30.314;0.26739;86.191;4.3484;1512.5;32.849;29.491;2
0.14207;1;34.072;0.070211;81.334;1.4423;1337.8;32.05;30.786;3
0.17227;2;22.147;0.34395;93.835;5.4322;1755.9;34.876;28.903;1
0.23314;2;26.251;0.33835;86.686;8.1849;1665.9;34.034;29.071;1
0.053285;2;35.521;0.028227;81.244;1.4313;1107.9;30.698;29.664;3
0.10017;2;21.278;0.33811;89.442;4.5221;1328.3;36.073;28.31;1
0.0023383;1;27.247;0.13984;84.91;2.7665;1218;30.542;28.684;3
0.26812;1;20.152;0.3601;89.157;5.649;1637.7;35.481;30.421;1
-0.013205;1;33.152;0.15308;75.327;1.9668;1093.7;32.104;30.974;3
0.095619;2;30.864;0.073706;84.278;1.7606;1545.3;29.172;27.926;3
0.068169;1;32.758;0.029677;79.672;1.9859;1225.1;31.278;29.392;3
0.11928;2;28.542;0.25718;83.125;4.2713;1503.6;31.203;28.121;2
0.24561;1;26.681;0.34419;77.879;4.2444;1616.5;31.967;27.746;2
0.12634;2;26.078;0.32449;81.766;2.9845;1649.9;34.889;30.836;2
0.12743;2;29.645;0.30173;85.77;5.4671;1521.1;34.992;31.417;2
0.017891;2;35.472;0.15106;75.495;3.454;1315.5;29.882;30.013;3
0.13799;1;20.468;0.34281;87.135;4.4009;1729.2;33.629;30.575;1
0.018573;1;31.334;0.019175;83.57;-0.064279;1271.6;31.639;31.797;3
0.19951;1;24.973;0.46348;90.164;2.3101;1963.5;35.789;27.829;1
0.076772;2;34.215;0.17213;81.506;3.2527;1315.3;31.322;29.856;3
0.18458;1;27.64;0.26885;80.755;2.1548;1614.1;33.411;28.577;2
0.19856;2;29.564;0.11652;84.368;3.0201;1813.9;32.279;29.789;2
0.018503;1;24.858;0.33474;83.2;4.1942;1650.6;33.861;27.829;1
0.09415;1;26.694;0.20709;81.979;2.2868;1765.2;31.568;28.295;2
0.20954;1;26.907;0.28567;86.501;3.0589;1613.8;31.632;28.579;2
0.057797;1;32.395;-0.020909;73.55;1.82;1088.3;31.486;31.026;3
0.077576;2;27.541;0.1523;86.464;2.804;1502.6;32.313;31.161;2
-0.047019;1;29.474;-0.0087227;74.488;1.5313;1250.2;33.504;30.506;3
0.082767;1;20.592;0.42283;92.37;3.7028;1776.4;37.188;31.342;1
0.17785;2;25.191;0.30587;80.56;3.8795;1646;32.158;28.579;2
0.098732;1;25.543;0.14509;78.227;4.8437;1769.4;36.187;32.715;2
0.093537;2;29.969;0.31631;81.912;3.4783;1366;34.093;30.587;2
0.1581;2;28.172;0.15229;81.111;4.4924;1310.3;34.293;31.954;2
0.22489;1;26.5;0.39445;84.073;5.2681;1746.1;36.255;29.399;1
0.03896;1;35.297;0.10363;75.118;2.5226;1304.6;30.496;30.433;3
0.046096;1;34.022;0.23912;69.113;2.0428;1314.6;35.151;31.719;3
-0.014035;2;36.343;0.080173;71.572;0.6988;1250.2;29.911;30.189;3
0.22701;2;22.774;0.42532;82.563;4.5995;1906.9;34.106;30.412;1
0.034648;2;25.264;0.19686;85.905;2.9583;1673.7;32.485;29.422;2
-0.033153;1;31.091;0.11501;72.809;3.3914;1258.2;30.961;31.15;3
0.095138;2;27.977;0.13513;83.363;3.9281;1712.9;31.642;28.351;2
0.051149;2;24.836;0.30783;81.609;5.9478;1519.9;36.369;31.97;1
0.22436;2;22.126;0.36994;96.867;4.7169;1497.1;32.934;28.771;1
0.19351;1;23.995;0.30274;82.915;2.2655;1543.4;30.864;28.137;2
0.12849;2;22.436;0.24738;84.714;4.9837;1862.6;32.649;27.858;2
0.056469;1;28.725;0.018624;67.13;0.81052;1186.7;29.856;29.431;3
0.018004;2;27.788;0.12482;81.049;2.4668;1470.7;31.854;31.452;3
0.053491;2;28.091;-0.00053158;69.824;1.5457;1307.4;31.134;30.34;3
0.1982;1;31.277;0.25639;85.647;3.1355;1735.3;33.64;29.904;2
0.14968;1;25.9;0.35161;85.141;3.8709;1539.1;33.974;31.437;2
0.10484;1;33.884;0.059281;75.116;1.3481;991.52;31.916;29.483;3
-0.073939;2;31.052;0.16838;78.983;1.3923;1270.1;29.789;27.858;3
0.097267;1;24.191;0.40512;84.103;3.8437;1869.6;34.373;32.64;2
0.20929;1;27.176;0.22238;81.359;5.4716;1422.7;34.582;32.857;2
0.24444;2;25.373;0.41161;91.714;7.6763;1741.9;36.214;32.116;1
0.31305;1;21.087;0.39805;87.882;5.6128;1753.7;36.21;32.664;1
0.025607;2;39.099;0.089375;86.168;2.0144;1138.7;30.794;31.161;3
0.10447;1;28.743;0.18294;83.002;6.1735;1880.7;32.385;29.095;2
-0.029333;1;29.256;0.16062;76.555;3.4669;1120.5;33.54;33.323;3
0.19074;2;26.301;0.1815;82.766;2.9868;1559.7;35.352;31.204;2
0.18179;2;24.958;0.55848;93.09;5.6365;1654.3;35.692;28.776;1
-0.013769;2;29.387;0.2231;77.157;4.2917;1461.8;29.645;29.503;3
0.037483;2;29.546;0.15737;75.609;0.97819;1320.2;30.833;30.532;3
0.25283;2;30.937;0.1173;86.086;2.2741;1550.2;30.585;28.755;2
-0.053472;1;30.801;0.24694;73.275;2.371;1128.8;29.347;27.817;3
0.29496;1;27.005;0.26245;84.351;3.1114;1725.4;33.424;28.593;1
0.12158;1;24.289;0.36152;86.617;6.0799;1889.3;35.125;30.1;1
0.090257;1;29.042;0.27733;83.114;0.86124;1629.7;31.531;28.748;2
0.13933;1;21.053;0.28587;89.588;3.9072;1740;36.835;30.446;1
0.15395;1;23.967;0.28725;88.602;6.8279;1468;36.436;32.289;1
0.1112;1;29.05;0.13202;83.94;1.9632;1162.5;30.378;28.413;3
-0.046035;1;39.286;0.043884;85.255;0.93219;1383.8;33.512;32.942;3
0.2922;2;20.649;0.38156;87.216;4.405;1515.8;38.525;32.268;1
0.15029;1;26.702;0.25359;86.635;3.225;1487.2;36.639;32.565;2
-0.017586;1;27.745;-0.0065358;77.457;2.1819;1482;33.721;32.588;3
0.17564;1;21.88;0.41731;84.363;6.6965;1620.8;33.308;29.969;1
0.13004;1;28.278;0.29295;78.158;4.4823;1623.1;33.103;31.102;2
0.15502;1;29.539;0.28159;83.626;4.1637;1340.5;34.891;30.677;2
0.10833;2;26.731;0.21984;81.991;3.7182;1594.5;34.201;32.034;2
0.12387;2;26.548;0.15941;79.606;6.5832;1994.7;31.013;28.149;2
0.061091;2;33.277;0.077442;74.102;1.811;1444.7;33.683;29.856;3
0.10605;2;34.432;0.22174;74.6;1.4918;1323.8;32.089;30.596;3
0.19246;1;28.713;0.31028;87.203;3.5089;1654.9;29.109;27.239;2
-0.080319;2;30.017;0.25612;79.2;2.7314;1448.3;32.19;31.098;3
0.052208;2;30.479;-0.0002234;66.879;2.1513;1465.5;32.359;30.389;3
-0.025422;1;26.994;0.28769;81.118;2.5183;1462.1;34.56;32.191;2
0.061686;1;21.855;0.43807;86.923;7.324;1698.5;35.325;30.401;1
0.11313;1;26.55;0.23945;83.582;5.0581;1611.7;33.072;29.13;2
0.066579;1;36.941;0.12313;79.826;2.5512;1508.1;30.396;27.595;3
0.098557;2;23.237;0.40885;83.475;8.0854;1633.2;34.629;31.141;1
0.16243;2;23.451;0.27076;91.918;4.7289;1520;34.659;27.88;1
-0.03736;2;35.63;0.078811;79.397;1.5217;1436.7;31.108;29.838;3
0.066932;1;26.276;0.26193;85.226;4.2572;1528.6;32.978;30.367;2
0.20733;2;25.502;0.35089;94.47;5.157;1954.6;37.708;33.065;1
0.11971;1;32.915;0.10435;65.818;1.8329;1449.5;29.343;28.923;3
0.076773;1;22.417;0.46146;90.468;4.8506;1557.9;31.946;28.268;1
0.09023;2;32.114;0.12686;82.122;4.1145;1877.7;31.856;28.414;2
-0.0033691;1;30.647;0.075798;84.409;2.1712;1328;29.427;29.13;3
